
;NB_triplets
Nb triplets;109234

;NB_o
Nb "o";26922

;NB_s
Nb "s";18597

;NB_p
nb "p";6

;ID;NAME;NB
Distribution of linked "o";"Q1463828";26
Distribution of linked "o";"Q170134";26
Distribution of linked "o";"Q218282";26
Distribution of linked "o";"Q301431";26
Distribution of linked "o";"Q383358";26
Distribution of linked "o";"Q4863629";26
Distribution of linked "o";"Q201584";25
Distribution of linked "o";"Q113000";25
Distribution of linked "o";"Q3589826";25
Distribution of linked "o";"Q220621";25
Distribution of linked "o";"Q192597";25
Distribution of linked "o";"Q738846";25
Distribution of linked "o";"18810101";25
Distribution of linked "o";"Q1201992";25
Distribution of linked "o";"Q1162277";25
Distribution of linked "o";"Q297858";25
Distribution of linked "o";"Q537325";25
Distribution of linked "o";"Q750437";25
Distribution of linked "o";"Q959341";25
Distribution of linked "o";"Q4709058";25
Distribution of linked "o";"Q746853";25
Distribution of linked "o";"Q633521";25
Distribution of linked "o";"Q24699";25
Distribution of linked "o";"Q1508285";25
Distribution of linked "o";"Q3873499";25
Distribution of linked "o";"Q242260";25
Distribution of linked "o";"Q957565";25
Distribution of linked "o";"Q3924852";24
Distribution of linked "o";"Q3061505";24
Distribution of linked "o";"Q459148";24
Distribution of linked "o";"Q12217";24
Distribution of linked "o";"Q3590479";24
Distribution of linked "o";"Q657156";24
Distribution of linked "o";"Q292231";24
Distribution of linked "o";"Q191843";24
Distribution of linked "o";"Q6748";24
Distribution of linked "o";"02000101";24
Distribution of linked "o";"Q9653";24
Distribution of linked "o";"Q16344";24
Distribution of linked "o";"Q646204";24
Distribution of linked "o";"Q1581559";24
Distribution of linked "o";"Q18712540";24
Distribution of linked "o";"19310101";24
Distribution of linked "o";"Q13385";24
